865,354
864,374
862,390
862,388
779,373
641,346
643,348
643,348
660,330
754,263
688,219
688,219
694,203
733,253
754,267
752,265
738,266
740,266
729,249
717,251
719,251
719,251
719,251
717,269
566,306
557,287
559,289
498,291
474,292
362,142
378,144
376,144
390,143
388,143
388,143
383,160
385,158
385,158
380,176
356,175
358,175
363,158
335,163
327,144
315,149
317,147
340,98
786,9
798,10
809,10
833,8
834,-9
446,-107
-3,164
16,193
25,208
-5,327
0,371
154,531
180,636
196,891
246,827
800,897
825,895
1080,915
1171,880
1108,863
1086,847
687,423
686,442
675,423
677,425
684,392
685,376
671,378
673,378
690,360
671,380
644,330
646,332
657,350
638,366
637,381
626,362
633,346
631,348
620,331
636,333
645,350
629,348
618,413
597,460
585,459
587,459
582,476
584,474
570,474
572,474
572,474
572,474
586,474
570,474
586,474
584,474
589,457
598,476
599,456
582,476
584,474
304,543
286,574
285,589
271,587
214,680
126,801
100,860
102,858
51,858
35,875
33,889
39,871
40,856
14,858
30,858
17,841
121,782
137,767
234,661
348,173
354,208
360,173
366,142
351,82
353,84
358,66
356,68
342,69
319,70
331,87
340,102
338,100
352,99
333,117
335,115
298,117
322,133
337,113
335,115
335,115
330,133
848,53
873,-28
867,-7
869,-9
885,-28
878,-8
867,-9
858,-27
871,-7
1021,674
971,655
978,639
1009,674
1081,754
1079,752
1065,752
1084,734
1082,736
1084,718
1098,720
1082,720
1082,738
1084,718
1084,720
1082,738
1082,736
1084,718
1084,720
1077,754
1035,787
1068,915
1068,895
1066,915
1057,799
1064,783
1044,883
1028,750
952,623
901,643
801,660
789,658
791,658
805,658
789,658
791,658
777,658
728,659
730,659
730,659
735,641
606,472
600,441
613,460
631,424
639,377
640,362
651,381
649,379
649,379
543,431
-66,75
98,145
109,140
41,114
-27,58
-1,120
10,115
4,71
789,203
787,201
815,182
931,196
962,142
1024,42
1118,36
1160,-15
1160,-32
1154,4
1160,-15
623,319
633,350
620,331
622,333
622,333
611,316
613,318
618,300
599,320
554,303
483,309
499,307
483,307
549,287
558,307
545,287
544,307
549,287
547,289
542,307
555,322
571,368
582,366
567,366
284,695
266,725
273,706
257,708
259,708
139,632
305,327
466,168
